"ID";"Name";"Photo";"global_id";"AdmArea";"District";"Location";"RegistrationNumber";"State";"LocationType";"geodata_center";"geoarea";
"Локальный идентификатор";"Название объекта";"Фотография";"global_id";"Административный округ по адресу";"Район";"Месторасположение";"Государственный регистрационный знак";"Состояние регистрации";"Тип места расположения";"geodata_center";"geoarea";
"2314";"CAROUSEL 6,70";"0f583f97-9bb7-4b44-b37e-bfae615e4780";"1060205189";"Центральный административный округ";"район Арбат";"Г. МОСКВА, УЛ. НОВЫЙ АРБАТ, Д.13";"2308-77";"аттракцион зарегистрирован";"площадка";"";"";
"2315";"CAROUSEL DOUBLE STOREY 10MEH";"25fcdf31-d2c8-4a44-ab05-c3d7b6b26f2f";"1060205191";"Южный административный округ";"район Братеево";"Г. МОСКВА, КЛЮЧЕВАЯ УЛ., Д.22, К.1";"0189-77";"аттракцион зарегистрирован";"площадка";"";"";
"2316";"CAROUSEL DOUBLE STOREY 10MEH";"616723f1-7598-4063-9125-ee7527fa0eee";"1060205193";"Северо-Западный административный округ";"район Куркино";"КУРКИНО";"0190-77";"аттракцион зарегистрирован";"площадка";"";"";
"2317";"CAROUSEL DOUBLE STOREY 10MEH";"bfc98209-4d8d-4189-b396-64f30ce01a06";"1060205195";"Юго-Восточный административный округ";"район Марьино";"УЛ.ПЕРЕРВА";"0191-77";"аттракцион зарегистрирован";"площадка";"";"";
"2318";"CAROUSEL DOUBLE STOREY 10MEH";"0e718ea4-111b-4785-a537-653e2818eaaa";"1060205197";"Западный административный округ";"район Очаково-Матвеевское";"УЛ.МАТВЕЕВСКАЯ";"0192-77";"аттракцион зарегистрирован";"площадка";"";"";
"2319";"CAROUSEL DOUBLE STOREY 10MEH";"e5238df8-3d7c-4d9a-89df-a657ed48656e";"1060205199";"Восточный административный округ";"район Гольяново";"СКВЕР У ГОЛЬЯНОВСКОГО ПРУДА";"0295-77";"аттракцион зарегистрирован";"площадка";"";"";
"2320";"CAROUSEL DOUBLE DECK-PARK MODEL";"109c726e-fe9f-4b75-ad79-83a9e6339223";"1060205201";"Юго-Западный административный округ";"район Черёмушки";"Г. МОСКВА, ПРОФСОЮЗНАЯ УЛ., Д. 41";"0194-77";"аттракцион зарегистрирован";"площадка";"";"";
"2322";"CAROUSEL DOUBLE DECK-PARK MODEL";"b8a9cf6e-e973-4c57-9e8d-9cc482aac648";"1060205203";"Восточный административный округ";"район Новокосино";"Г. МОСКВА, ГОРОДЕЦКАЯ УЛ., Д. 10";"0195-77";"аттракцион зарегистрирован";"площадка";"";"";
"2323";"CAROUSEL DOUBLE STOREY 10ME";"321fe8b8-3570-4951-bd49-1b4149076bbd";"1060205205";"Юго-Восточный административный округ";"район Кузьминки";"Г. МОСКВА, ПЛОЩАДЬ СЛАВЫ";"0196-77";"аттракцион зарегистрирован";"площадка";"";"";
